[2025-10-19 23:15:26,294: INFO: main: Welcome to ur custom log]
[2025-10-19 23:15:42,161: INFO: main: Welcome to our custom log]
[2025-10-19 23:26:55,845: INFO: main: Welcome to our custom log]
[2025-10-26 21:51:12,565: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-26 21:51:12,578: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-26 21:51:12,582: INFO: common: created directory at: artifacts]
[2025-10-26 21:51:12,585: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-26 21:53:42,275: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-26 21:53:42,281: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-26 21:53:42,285: INFO: common: created directory at: artifacts]
[2025-10-26 21:53:42,289: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-26 21:54:29,377: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-26 21:54:29,380: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-26 21:54:29,382: INFO: common: created directory at: artifacts]
[2025-10-26 21:54:29,385: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-26 21:54:29,388: INFO: 1083728794: Downloading data from https://drive.google.com/file/d/172xRLsitipzymBi9EslZ2u2VZN3OJwIz/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-27 01:43:44,623: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-10-27 01:43:44,631: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-10-27 01:43:44,634: INFO: common: created directory at: artifacts]
[2025-10-27 01:43:44,636: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-27 01:43:44,639: INFO: 1199208304: Downloading data from https://drive.google.com/file/d/172xRLsitipzymBi9EslZ2u2VZN3OJwIz/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-27 01:49:14,577: INFO: 1199208304: Downloaded data from https://drive.google.com/file/d/172xRLsitipzymBi9EslZ2u2VZN3OJwIz/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2025-11-01 20:40:12,380: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-11-01 20:40:12,382: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-01 20:40:12,385: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-01 20:40:12,386: INFO: common: created directory at: artifacts]
[2025-11-01 20:40:12,386: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-01 20:40:12,386: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/172xRLsitipzymBi9EslZ2u2VZN3OJwIz/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-01 20:56:10,747: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/172xRLsitipzymBi9EslZ2u2VZN3OJwIz/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2025-11-01 20:56:20,850: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========]
[2025-11-02 02:48:06,137: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 02:48:06,160: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 02:48:06,169: INFO: common: created directory at: artifacts]
[2025-11-02 02:52:34,621: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 02:52:34,632: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 02:52:34,637: INFO: common: created directory at: artifacts]
[2025-11-02 02:52:34,639: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-02 03:09:29,221: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 03:09:29,239: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 03:09:29,247: INFO: common: created directory at: artifacts]
[2025-11-02 03:09:29,250: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-02 03:09:48,837: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-11-02 03:25:51,419: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 03:25:51,429: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 03:25:51,433: INFO: common: created directory at: artifacts]
[2025-11-02 03:25:51,436: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-02 03:25:52,299: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-11-02 03:37:14,800: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 03:37:14,815: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 03:37:14,820: INFO: common: created directory at: artifacts]
[2025-11-02 03:37:14,823: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-02 03:37:16,019: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-11-02 03:54:39,517: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 03:54:39,531: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 03:54:39,535: INFO: common: created directory at: artifacts]
[2025-11-02 03:54:39,537: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-02 03:54:40,382: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-11-02 03:56:28,927: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 03:56:28,951: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 03:56:28,957: INFO: common: created directory at: artifacts]
[2025-11-02 03:56:28,960: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-02 03:56:30,545: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
